	id	name	tweet	retweets_count	location	created	followers_count	geo	hashtags	verified	retweeted
23	2900073681	Zahknya	RT @msmonafrancine: I don’t feel sorry for Khloe at all. She stole Tristan from a black woman and a black woman stole his ass right back. H…	0	sicklerville/williamstown 	20-Feb-2019	375		[]	False	False
24	2387202709	joey_morgan20	RT @vincestaples: But yea anyway I’m finna go do this Desus and Mero real quick y’all have a Happy Black History Month. #HappyBirthdayRihan…	0		20-Feb-2019	135		[]	False	False
25	1000893372599500805	jooorddannn	RT @msmonafrancine: I don’t feel sorry for Khloe at all. She stole Tristan from a black woman and a black woman stole his ass right back. H…	0	Burlington, NC	20-Feb-2019	425		[]	False	False
26	789287947	Meggan_Munroe	RT @msmonafrancine: I don’t feel sorry for Khloe at all. She stole Tristan from a black woman and a black woman stole his ass right back. H…	0	New York, NY	20-Feb-2019	389		[]	False	False
27	1024399285885038592	hotgrlbbyb	"RT @_indevo: HAPPY BLACK HISTORY MONTH!

DESIGNER BRANDS: https://t.co/ysuSfeWinH"	0	Illinois, USA	20-Feb-2019	62		[]	False	False
28	15221527	_airJordans_	@Kel_Chanell Happy Black History Month hoe	0	Atlanta, GA	20-Feb-2019	4017		[]	False	False
29	109142101	CapnHec	RT @vincestaples: But yea anyway I’m finna go do this Desus and Mero real quick y’all have a Happy Black History Month. #HappyBirthdayRihan…	0	Arizona, USA	20-Feb-2019	268		[]	False	False
30	965656775893704706	NubiaDs59	RT @msmonafrancine: I don’t feel sorry for Khloe at all. She stole Tristan from a black woman and a black woman stole his ass right back. H…	0	Florida, USA	20-Feb-2019	2518		[]	False	False
31	1547566315	axelortiz67	RT @msmonafrancine: I don’t feel sorry for Khloe at all. She stole Tristan from a black woman and a black woman stole his ass right back. H…	0		20-Feb-2019	307		[]	False	False
32	969163133406400512	LeekLutherKing	"RT @_indevo: HAPPY BLACK HISTORY MONTH!

DESIGNER BRANDS: https://t.co/ysuSfeWinH"	0	Milwaukee, WI	20-Feb-2019	71		[]	False	False
33	804895181493432320	iiiakkaiii	RT @msmonafrancine: I don’t feel sorry for Khloe at all. She stole Tristan from a black woman and a black woman stole his ass right back. H…	0		20-Feb-2019	807		[]	False	False
34	240932919	DaYy_ShiNeBRITE	RT @msmonafrancine: I don’t feel sorry for Khloe at all. She stole Tristan from a black woman and a black woman stole his ass right back. H…	0		20-Feb-2019	1797		[]	False	False
35	2265403232	smokeonmylawn	RT @vincestaples: But yea anyway I’m finna go do this Desus and Mero real quick y’all have a Happy Black History Month. #HappyBirthdayRihan…	0		20-Feb-2019	246		[]	False	False
36	220251492	CJ_Jerome	RT @msmonafrancine: I don’t feel sorry for Khloe at all. She stole Tristan from a black woman and a black woman stole his ass right back. H…	0	On the come up..	20-Feb-2019	510		[]	False	False
37	376294180	CupidMarydMe	RT @msmonafrancine: I don’t feel sorry for Khloe at all. She stole Tristan from a black woman and a black woman stole his ass right back. H…	0	Fl☀️	20-Feb-2019	2241		[]	False	False
38	2957842742	Heyyyazz	RT @msmonafrancine: I don’t feel sorry for Khloe at all. She stole Tristan from a black woman and a black woman stole his ass right back. H…	0		20-Feb-2019	1416		[]	False	False
39	3280086079	yucktay	RT @msmonafrancine: I don’t feel sorry for Khloe at all. She stole Tristan from a black woman and a black woman stole his ass right back. H…	0	Las Vegas, NV	20-Feb-2019	95		[]	False	False
40	714917674891882496	Jlluminati7	RT @vincestaples: But yea anyway I’m finna go do this Desus and Mero real quick y’all have a Happy Black History Month. #HappyBirthdayRihan…	0	California, USA	20-Feb-2019	238		[]	False	False
41	51673864	Rjbthatstooeasy	"RT @_indevo: HAPPY BLACK HISTORY MONTH!

DESIGNER BRANDS: https://t.co/ysuSfeWinH"	0	Anywhere I Want. 	20-Feb-2019	374		[]	False	False
42	112889481	YoungTaylorr	RT @vincestaples: But yea anyway I’m finna go do this Desus and Mero real quick y’all have a Happy Black History Month. #HappyBirthdayRihan…	0	(414) (Cream City)	20-Feb-2019	399		[]	False	False
43	774030750	j_yvonnes	Happy Muthafuckin' Black History Month https://t.co/ehrgNVWnrv	1	Los Angeles, CA	20-Feb-2019	276		[]	False	False
44	550324900	Nobizzle_	"RT @_indevo: HAPPY BLACK HISTORY MONTH!

DESIGNER BRANDS: https://t.co/ysuSfeWinH"	0	jerZ	20-Feb-2019	847		[]	False	False
45	27963955	Bawse_Melly	RT @msmonafrancine: I don’t feel sorry for Khloe at all. She stole Tristan from a black woman and a black woman stole his ass right back. H…	0	Brooklyn 	20-Feb-2019	885		[]	False	False
46	51932042	ColumbiaQT	RT @RasDoit: @BRITs @Beyonce @S_C_ Happy Black History Month ✊🏿	0	📱⚛️♻️〽️➰〰️➿	20-Feb-2019	319		[]	False	False
47	26981843	owleealeckza	HAPPY BLACK HISTORY MONTH TO OUR BLACK AMERICAN DUCHESS https://t.co/8qb9iYVrzz	0	🚀 ₛₜᵣₐₙdₑd ᵢₙ wₒₙdₑᵣₗₐₙd 🗺	20-Feb-2019	65		[]	False	False
48	381232576	TastyHorchata	"Watching videos of racist white people getting their ass rightfully beat and I can’t stop laughing 

Happy Black History Month"	0	Isla Nublar	20-Feb-2019	349		[]	False	False
49	610344503	dewbabyraji	RT @msmonafrancine: I don’t feel sorry for Khloe at all. She stole Tristan from a black woman and a black woman stole his ass right back. H…	0		20-Feb-2019	1139		[]	False	False
0	961046764714364928	FebBlackHistory	RT @angela_rye: Lauren Simmons is the FIRST black woman full-time trader for the @NYSE. She found her passion in finance and followed her g…	0		20-Feb-2019	2140		[]	False	False
1	2998778524	jeanlouis241	RT @billboard: 9 LGBTQ artists to discover during #BlackHistoryMonth https://t.co/qQ000ScVVS https://t.co/SXY2T3v79y	0	Doesn't matter	20-Feb-2019	3559		[{'text': 'BlackHistoryMonth', 'indices': [50, 68]}]	False	False
2	2996009128	vachon_kathryn	RT @Women_Canada: Passionate about women’s maternal health &amp; prevention of obstetric fistula, Habiba Cooper Diallo founded @WHOI_Org who ai…	0		20-Feb-2019	24		[]	False	False
3	68681950	DrCelesteOwens	"RT @SingletaryM: Can I share some great news? And so fitting this comes in #BlackHistoryMonth 

I'm the first woman of color to be so honor…"	0	Washington, DC	20-Feb-2019	1623		[{'text': 'BlackHistoryMonth', 'indices': [75, 93]}]	False	False
4	25638892	MayHarrington	RT @FBIBaltimore: This month, FBI Baltimore joins the country in celebrating #BlackHistoryMonth, and we especially want to remember and hon…	0		20-Feb-2019	172		[{'text': 'BlackHistoryMonth', 'indices': [77, 95]}]	False	False
